particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599660924928,321,0,1022.995,106.638138,2572.21484,3.57189584,0.96006,-0.202401057,2.40758443,0.49368,1
4503599677702144,-211,0,88.9888153,-215.370667,3001,4.19614506,0.156167507,-0.191356391,3.09028721,0.139569998,-1
4503599694479360,211,0,-221.230682,-38.5501785,3001,4.18506718,-0.537264526,-0.027056843,7.1603756,0.139569998,1
4503599711256576,-211,0,43.4303131,0.526384056,3001,4.15786266,0.102455467,0.0114479,7.19034719,0.139569998,-1
4503599795142656,-321,0,-65.2434387,-304.757812,3001,4.25774431,-0.0173072014,-0.513738215,4.98857689,0.49368,-1
4503599811919872,-211,0,-80.6207504,1025.37341,1204.45447,-0.503114998,-0.375629574,0.888270259,1.102808,0.139569998,-1
4503599845474304,-211,0,971.465759,-337.853119,155.44278,-2.34546852,1.98107159,-0.362389326,0.294624835,0.139569998,-1
4503599862251520,211,0,888.543152,-518.055542,285.337067,-2.27615452,4.75312233,-3.12573242,1.54266572,0.139569998,1
4503599879028736,2112,0,838.015381,-596.339417,240.700714,-2.24409866,3.70659351,-2.63767385,1.03545415,0.93957001,0
4503599895805952,-2212,0,974.772888,-328.189423,307.260498,-2.24056268,8.65347576,-2.58783913,2.64268804,0.938269973,-1
4503599912583168,211,0,813.813599,-628.965759,35.6092224,-2.39334488,2.49015069,-2.31410575,0.0933807939,0.139569998,1
4503599929360384,211,0,38.1972237,331.550201,3001,4.2439146,0.119754098,0.201571614,2.03173709,0.139569998,1
4503599946137600,211,0,619.050171,192.400146,3001,4.50267792,0.248061731,-0.121624544,1.16736305,0.139569998,1
4503599962914816,-211,0,56.7292442,-150.106384,3001,4.17719841,0.109588951,-0.15802221,3.56313109,0.139569998,-1
4503599979692032,321,0,462.78656,98.7991867,3001,4.37438393,0.571863592,-0.0202431474,3.57875323,0.49368,1
4503599996469248,-321,0,26.703104,-528.20813,3001,4.32475471,0.238183379,-1.57913041,9.02225685,0.49368,-1
4503600013246464,321,0,-549.599243,-726.580017,3001,4.66639328,-1.05862701,-0.939479172,4.64076567,0.49368,1
4503600030023680,211,0,-133.012939,-711.562927,3001,4.44297075,-1.33416009,-5.94376135,25.1932545,0.139569998,1
4503600046800896,211,0,111.119843,-5.18728924,3001,4.16418266,0.239503592,-0.0457329974,6.55200195,0.139569998,1
4503600063578112,-211,0,-46.254612,-1.90512455,3001,4.15680933,-0.191321582,-0.0217469037,12.4393797,0.139569998,-1
