particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.188283637,-0.232863128,21.2549515,0.49368,-1
4503599660924928,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.466783345,0.0548830293,20.2191887,0.139569998,1
4503599744811008,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.00233761128,0.418767273,20.1930218,0.139569998,1
4503599761588224,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.277859449,0.136292249,15.3120613,0.139569998,1
4503599778365440,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.346697062,-0.620855331,55.1906319,0.139569998,-1
4503599795142656,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.571465254,-0.00460333051,99.6044312,0.139569998,1
4503599811919872,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.170634404,-1.11305189,63.1134262,0.139569998,-1
4503599828697088,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.435403317,0.197000816,189.563095,0.139569998,1
4503599845474304,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.0135236867,-3.56731081,-400.479767,0.139569998,1
4503599862251520,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.333374441,-5.09564734,-572.302002,0.139569998,-1
4503599879028736,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,1.10225141,-0.485537857,-47.4429665,0.139569998,1
4503599895805952,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.137201816,0.120480597,-0.737854898,0.139569998,-1
4503599912583168,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.382618904,-2.71090078,-25.0293064,0.139569998,1
4503599929360384,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,1.0335288,0.573162079,38.9590187,0.139569998,-1
4503599946137600,2212,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,1.75213301,-0.739583611,48.6937027,0.938269973,1
4503599962914816,-2112,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.663447797,1.50344503,12.3059578,0.93957001,0
4503599979692032,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.274249524,0.102693506,5.238554,0.139569998,-1
4503599996469248,-2112,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-1.76842487,0.428641707,-0.024208948,0.93957001,0
4503600013246464,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.218243241,-0.133340865,-0.648982167,0.139569998,-1
4503600030023680,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.407016248,0.101125456,-0.928446114,0.139569998,1
4503600046800896,2112,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.2699655,-0.0868926495,-1.16604197,0.93957001,0
4503600063578112,-2212,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-1.06726837,-0.34178865,-2.04801273,0.938269973,-1
4503600080355328,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.208517164,0.131792471,-2.51721025,0.139569998,-1
4503600097132544,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.18660149,0.553115189,-3.73573685,0.139569998,-1
4503600113909760,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.751107574,-0.28854534,-9.35461998,0.139569998,1
4503600130686976,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.00349988067,0.0329539031,-0.286623776,0.139569998,-1
4503600147464192,321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.530620337,0.0694077164,-5.61322689,0.49368,1
4503600164241408,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.217212215,0.328219682,-3.92452073,0.139569998,-1
4503600181018624,-321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.797867298,0.0535998642,-81.0357056,0.49368,-1
4503600197795840,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-1.10937071,-0.241504028,-102.159096,0.139569998,1
4503600214573056,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.133346036,0.629446089,-431.350159,0.139569998,-1
4503600231350272,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.91227299,-0.227435261,-99.2409744,0.139569998,-1
4503600248127488,321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.449007213,-0.799799323,-113.567009,0.49368,1
4503600264904704,-321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.44899404,-0.709092438,-101.778564,0.49368,-1
4503600432676864,321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.202596098,-0.419788003,-1.47424114,0.49368,1
4503600449454080,-321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.591143548,-0.967077971,-6.16603374,0.49368,-1
4503600600449024,-321,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.739666939,-0.220628932,13.0737486,0.49368,-1
4503600617226240,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-1.30256093,-0.469399422,29.6280575,0.139569998,1
4503600634003456,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-1.19864166,-0.619000018,14.9347134,0.139569998,-1
4503600650780672,2112,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.19343631,-1.40142703,23.7205467,0.93957001,0
4503600667557888,-2112,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,-0.496401519,-0.408232212,6.06674528,0.93957001,0
4503600684335104,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.249808222,-0.952161074,5.07986307,0.139569998,1
4503600701112320,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.360215962,-1.27957356,2.66555715,0.139569998,1
4503600717889536,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.664896071,-0.274915516,0.971447051,0.139569998,-1
4503600734666752,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.82056272,0.13467972,0.199193805,0.139569998,1
4503600751443968,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,1.31407344,0.592104018,1.04246843,0.139569998,-1
4503600768221184,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,1.42420697,-0.808683872,0.957546294,0.139569998,1
4503600784998400,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.976114988,0.997396588,0.346150458,0.139569998,-1
4503600801775616,-211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.105389699,-0.179642662,0.0516113266,0.139569998,-1
4503600818552832,211,0,-0.0120002991,-9.48547313e-05,-15.1165705,-1.45888221,0.0169325061,1.95786417,6.79312325,0.139569998,1
